feature,median_rank,final_rank
time_step,1.0,1
397_6,2.0,2
158_8,4.0,3
272_3,6.0,4
158_9,7.0,5
397_0,10.0,6
158_0,10.5,7
167_1,11.0,8
158_6,12.0,9
666_0,14.0,10
397_12,15.0,11
167_6,16.0,12
459_14,17.0,13
167_5,18.0,14
272_0,21.0,15
158_3,22.0,16
459_16,22.5,17
397_3,24.0,18
459_0,29.0,19
272_5,29.5,20
272_6,31.0,21
272_2,33.5,22
272_4,34.0,23
459_9,34.5,24
158_1,35.0,25
167_2,35.0,26
272_1,38.0,27
291_4,38.0,28
459_15,39.0,29
397_1,39.5,30
167_3,39.5,31
397_13,39.5,32
837_0,41.0,33
158_7,41.0,34
397_8,42.0,35
397_24,42.5,36
167_7,45.0,37
291_10,45.0,38
158_5,46.0,39
397_2,46.5,40
309_0,46.5,41
167_0,48.0,42
397_31,49.5,43
167_8,50.5,44
397_7,51.0,45
291_0,51.0,46
291_3,51.5,47
158_2,52.5,48
459_8,54.5,49
397_30,55.0,50
459_17,55.0,51
158_4,55.0,52
167_4,55.5,53
397_14,55.5,54
397_33,56.5,55
291_1,57.5,56
397_18,58.0,57
397_15,58.5,58
100_0,59.0,59
167_9,60.0,60
397_17,61.5,61
397_19,63.0,62
459_1,64.5,63
397_34,64.5,64
397_25,65.0,65
397_26,65.5,66
291_5,65.5,67
397_27,65.5,68
397_29,66.0,69
397_10,66.5,70
397_35,68.0,71
459_7,68.5,72
459_10,69.0,73
459_19,69.0,74
397_32,69.0,75
459_12,69.0,76
835_0,69.5,77
459_4,70.5,78
459_5,71.5,79
291_6,72.0,80
397_5,72.0,81
397_4,74.0,82
459_6,74.0,83
397_9,74.0,84
291_2,74.0,85
397_23,75.5,86
459_13,76.5,87
397_21,77.0,88
171_0,77.0,89
397_20,78.5,90
459_2,79.5,91
459_18,80.0,92
397_16,80.5,93
397_22,80.5,94
291_7,81.0,95
370_0,82.5,96
291_8,82.5,97
459_3,82.5,98
397_28,83.0,99
459_11,85.5,100
427_0,85.5,101
291_9,90.5,102
272_7,91.5,103
397_11,93.0,104
272_8,97.5,105
272_9,105.0,106
