Scenario,Configuration,Mean AUPRC,Std AUPRC
Scenario 1: RUS Only,1:1,0.2851575318970146,0.016735567358391573
Scenario 1: RUS Only,1:3,0.3083519399252573,0.017533749152972754
Scenario 1: RUS Only,1:9,0.3178342346022378,0.0177527885445976
Scenario 1: RUS Only,1:27,0.31886482945516403,0.0175443205632735
Scenario 1: RUS Only,original,0.31986665133594344,0.018124862114382613
Scenario 2: Feature Selection,7 features,0.27952453071620953,0.015642280172220045
Scenario 2: Feature Selection,10 features,0.2982158369439666,0.01782838629109625
Scenario 2: Feature Selection,15 features,0.3100341871850085,0.01557361664514102
Scenario 2: Feature Selection,20 features,0.32054660924958206,0.016737978706514643
Scenario 2: Feature Selection,25 features,0.3227372106493729,0.01670673309464784
Scenario 2: Feature Selection,30 features,0.3251337695372071,0.018746946936545248
Scenario 2: Feature Selection,106 features,0.31986665133594344,0.018124862114382613
Scenario 3: FS→RUS,10 features + RUS 1:9,0.297599983128076,0.016699503383049232
Scenario 3: FS→RUS,15 features + RUS 1:9,0.310242794939801,0.01637716523689074
Scenario 3: FS→RUS,20 features + RUS 1:9,0.3189056845649652,0.01636217283416172
Scenario 3: FS→RUS,25 features + RUS 1:9,0.32196590631795713,0.01682784430625359
Scenario 3: FS→RUS,30 features + RUS 1:9,0.3246634162459149,0.01856003855958438
Scenario 3: FS→RUS,106 features + RUS 1:9,0.3172848811578156,0.018586445505995013
Scenario 4: RUS→FS,RUS 1:9 + 10 features,0.2946386036714891,0.015918795538819464
Scenario 4: RUS→FS,RUS 1:9 + 15 features,0.3123552374175906,0.017291502082291875
Scenario 4: RUS→FS,RUS 1:9 + 20 features,0.32550605098372143,0.018507330059739292
Scenario 4: RUS→FS,RUS 1:9 + 25 features,0.3239726774098192,0.017846413459314696
Scenario 4: RUS→FS,RUS 1:9 + 30 features,0.32232864070328043,0.01657384849169648
Scenario 4: RUS→FS,RUS 1:9 + 106 features,0.3193264987986389,0.016521723841942608
